,time,latitude,longitude,depth,mag
359,2021-06-13T19:06:42.005Z,36.8339,140.591,10.0,4.2
360,2021-06-14T00:08:28.272Z,43.1781,145.6821,70.59,4.2
361,2021-06-15T06:18:34.913Z,33.6404,138.6055,10.0,4.5
362,2021-06-15T18:03:13.302Z,30.2668,138.7912,418.11,4.2
363,2021-06-17T08:59:34.009Z,34.8992,141.7647,10.0,4.5
364,2021-06-18T11:34:17.740Z,34.5034,140.6554,10.0,4.2
365,2021-06-18T22:39:13.136Z,33.5055,132.5646,41.87,4.9
366,2021-06-20T11:08:24.615Z,43.5582,142.6172,151.93,5.3
367,2021-06-23T12:35:14.893Z,37.8229,144.4386,10.0,4.6
368,2021-06-23T18:44:20.377Z,43.5341,146.147,113.92,4.3
369,2021-06-24T22:41:45.862Z,38.5605,144.5973,10.0,4.3
370,2021-06-25T11:41:15.490Z,30.8075,141.9444,10.0,4.3
371,2021-06-27T00:06:55.511Z,40.1891,142.7201,38.39,4.1
372,2021-06-28T06:13:53.450Z,43.0045,145.2487,75.65,4.2
373,2021-06-29T01:42:11.287Z,35.6419,140.3552,44.66,4.3
374,2021-06-29T05:55:51.020Z,31.7709,131.7087,49.86,5.0
375,2021-06-29T16:36:11.151Z,38.6817,141.985,79.74,4.1
